"item_sugerido","veces","variantes"
"REVISION GENERAL","2","REVISION GENERAL (2)"
"REVISAR BATERIA","2","REVISAR BATERIA (2)"
"RESORTES DE BARRAS","2","RESORTES DE BARRAS (2)"
"REPARACION GENERAL","2","REPARACION GENERAL (2)"
"MANO DE OBRA SUSPENSION DELANTERA","2","MANO DE OBRA SUSPENSION DELANTERA (1) | MANO DE OBRA SUSPENSIÓN DELANTERA (1)"
"CAMBIO DE DISCO TRASERO","2","CAMBIO DE DISCO TRASERO (2)"
"ARREGLO DE EXOSTO","2","ARREGLO DE EXOSTO (2)"
"ENDEREZAR MANUBRIO","2","ENDEREZAR MANUBRIO (2)"
"RETOQUE DEFENSA","2","RETOQUE DEFENSA (2)"
"POSAPIES","2","POSAPIES (2)"
"PORTAFUSIBLES","2","PORTAFUSIBLES (2)"
"CAMBIO PINON DELANTERO","2","CAMBIO PIÑON DELANTERO (2)"
"MANO DE OBRA DISCO","2","MANO DE OBRA DISCO (2)"
"BALANCEO DE CIGUENAL","2","BALANCEO DE CIGÜEÑAL (2)"
"CAUCHO","2","CAUCHO (2)"
"PERA DE CLUTCH","2","PERA DE CLUTCH (2)"
"ARREGLO","2","ARREGLO (2)"
"CAMBIO DISCO TRASERO","2","CAMBIO DISCO TRASERO (2)"
"ACEITE MOTUL 5100","2","ACEITE MOTUL 5100 (2)"
"POSAPIE IZQUIERDO TRASERO","2","POSAPIE IZQUIERDO TRASERO (2)"
"INSTALAR GUGLATECH","2","INSTALAR GUGLATECH (2)"
"TOTA","2","TOTA: (2)"
"CAMBIO DE MANGUERA","2","CAMBIO DE MANGUERA (2)"
"ARREGLO DE CALEFACTORES","2","ARREGLO DE CALEFACTORES (2)"
"CAMBIO PASTILLAS TRASERAS","2","CAMBIO PASTILLAS TRASERAS (2)"
"1 RETEN","2","1 RETEN (2)"
"CAMBIO DE ACEITE 15W50","2","CAMBIO DE ACEITE 15W50 (2)"
"REVISAR FAROLA","2","REVISAR FAROLA (2)"
"PILA DE GASOLINA","2","PILA DE GASOLINA (2)"
"PASTILLA DELANTERAS","2","PASTILLA DELANTERAS (2)"
"TAPON DE CARDAN","2","TAPON DE CARDAN (2)"
"CAUCHO POSAPIE","2","CAUCHO POSAPIE (2)"
"CAMBIO DE ACEITE FULL","2","CAMBIO DE ACEITE FULL (2)"
"CAMBIO DE ESCOBILLAS","2","CAMBIO DE ESCOBILLAS (2)"
"PINTURA TAPA DERECHA","2","PINTURA TAPA DERECHA (2)"
"ROLES","2","ROLES (2)"
"1 RETEN DE BARRA","2","1 RETEN DE BARRA (2)"
"CAMBIO DE BARRA","2","CAMBIO DE BARRA (2)"
"MANTENIMIENTO DE RODAMIENTOS","2","MANTENIMIENTO DE RODAMIENTOS (2)"
"MANO DE OBRA VENDIX","2","MANO DE OBRA VENDIX (2)"
"DISCOS Y SEPARADORES","2","DISCOS Y SEPARADORES (2)"
"MANO DE OBRA COCUYOS","2","MANO DE OBRA COCUYOS (2)"
"EMBONINADO DE CORONA","2","EMBONINADO DE CORONA (2)"
"DIAGNOSTICO","2","DIAGNOSTICO (2)"
"INSTALACION GUARDABARRO","2","INSTALACION GUARDABARRO (2)"
"DIRECCIONAL IZQUIERDA TRASERA","2","DIRECCIONAL IZQUIERDA TRASERA (2)"
"MANTENIMIENTO KIT DE ARRSTRE","2","MTO KIT DE ARRSTRE (1) | MANTENIMIENTO KIT DE ARRSTRE (1)"
"CAPUCHONES","2","CAPUCHONES (2)"
"FUSIBLE","2","FUSIBLE (2)"
"ARREGLO HAND SABER","2","ARREGLO HAND SABER (2)"
"TOTL","2","TOTL: (2)"
"LABADA","2","LABADA (2)"
"PINTURA MANIJAS","2","PINTURA MANIJAS (2)"
"DISCO DE FRENO","2","DISCO DE FRENO (2)"
"ESPEJO","2","ESPEJO (2)"
"CAMBIO DE ACIETE","2","CAMBIO DE ACIETE (2)"
"ARREGLO TAPA BOBINA DE ALTA","2","ARREGLO TAPA BOBINA DE ALTA (2)"
"NO PRENDE","2","NO PRENDE (2)"
"LUBRICACION Y TENSION DE CADENA","2","LUBRICACION Y TENSION DE CADENA (2)"
"ARREGLO TANQUE","2","ARREGLO TANQUE (2)"
"PULIR EXOSTO","2","PULIR EXOSTO (2)"
"EMPAQUETADURA COMPLETA","2","EMPAQUETADURA COMPLETA (2)"
"GUAYA","2","GUAYA (2)"
"PASTILLAS LLEVAR","2","PASTILLAS LLEVAR (2)"
"BOMBILLO STOP","2","BOMBILLO STOP (2)"
"INSTALACION DE BOMBILLOS","2","INSTALACION DE BOMBILLOS (2)"
"BUJE Y TORNILLO MALETERO","2","BUJE Y TORNILLO MALETERO (2)"
"ARREGLO CAJA FILTRO","2","ARREGLO CAJA FILTRO (2)"
"RETEN EJE DE CAMBIOS","2","RETEN EJE DE CAMBIOS (2)"
"MATENIMIENTO GENERAL","2","MATENIMIENTO GENERAL (2)"
"1 BOBINA DE SEGUNDA","2","1 BOBINA DE SEGUNDA (2)"
"CAMBIO DE AEMPAQUES","2","CAMBIO DE AEMPAQUES (2)"
"MANIGUETA IZQUIERDA","2","MANIGUETA IZQUIERDA (2)"
"CAMBIO BUJES DE TIJERA","2","CAMBIO BUJES DE TIJERA (2)"
"TOTAAL","2","TOTAAL: (2)"
"PASTILLAS DELANTREAS","2","PASTILLAS DELANTREAS (2)"
"RETENEDOR","2","RETENEDOR (2)"
"MANTENIMIENTO DE BOBINAS Y BUJIAS","2","MTO DE BOBINAS Y BUJIAS (1) | MANTENIMIENTO DE BOBINAS Y BUJIAS (1)"
"INSTALACION DIRECCIONALES","2","INSTALACION DIRECCIONALES (2)"
"CUNAS MANO DE OBRA","2","CUNAS MANO DE OBRA (2)"
"MANTENIMIENTO CONTROL CRUCERO","2","MTO CONTROL CRUCERO (2)"
"ARREGLO DIRECCIONALES","2","ARREGLO DIRECCIONALES (2)"
"MANTENIMIENTO SUSPENSION DELANTERA","2","MTO SUSPENSION DELANTERA (1) | MANTENIMIENTO SUSPENSION DELANTERA (1)"
"CAMBIO DE ACEITE 10 50","2","CAMBIO DE ACEITE 10 50 (2)"
"LAVDA","2","LAVDA (2)"
"INSTALACION HAND SABER","2","INSTALACION HAND SABER (2)"
"ENSAMBLE Y DESENSAMBLE","2","ENSAMBLE Y DESENSAMBLE (2)"
"FILTRO DE ACEIE","2","FILTRO DE ACEIE (2)"
"FILTRO DE ACEITTE","2","FILTRO DE ACEITTE (2)"
"PRENSA DE CLUTCH","2","PRENSA DE CLUTCH (2)"
"PASTILLAS DEL Y TRAS","2","PASTILLAS DEL Y TRAS (2)"
"FILTROD E AIRE","2","FILTROD E AIRE (2)"
"ENVIO","2","ENVIO (2)"
"MANO DE OBRA PRENSA","2","MANO DE OBRA PRENSA (2)"
"REVISAR FRENOS","2","REVISAR FRENOS (2)"
"MANTENIMIENTO DE BARRA IZQ","2","MTO DE BARRA IZQ (2)"
"ARREGLO PRENSA","2","ARREGLO PRENSA (2)"
"BOMBILLOS FAROLA","2","BOMBILLOS FAROLA (2)"
"RODAMIENTOS INSTALADOS","2","RODAMIENTOS INSTALADOS (2)"
"ACEITE 20W50","2","ACEITE 20W50 (2)"
"EMPAQUE TADURA","2","EMPAQUE TADURA (2)"
"TALONERAS","2","TALONERAS (2)"
"TAPON DE TIJERA","2","TAPON DE TIJERA (2)"
"PASTILLAS DEL","2","PASTILLAS DEL (2)"
"MANTENIMIENTO DE TRAPECIO","2","MTO DE TRAPECIO (1) | MANTENIMIENTO DE TRAPECIO (1)"
"MANO DE OBRA KIT DE ARRASTRE","2","MANO DE OBRA KIT DE ARRASTRE (2)"
"MANTENIMIENTO ACELERADOR","2","MTO ACELERADOR (1) | MANTENIMIENTO ACELERADOR (1)"
"DISCO DE CLUTCH","2","DISCO DE CLUTCH (2)"
"RODAMIENTO TIJERA","2","RODAMIENTO TIJERA (2)"
"RETEN DE BARRAS","2","RETEN DE BARRAS (2)"
"BUJES DE TRAPECIO","2","BUJES DE TRAPECIO (2)"
"SENSOR DE CAMBIOS","2","SENSOR DE CAMBIOS (2)"
"ARREGLO MANUBRIO","2","ARREGLO MANUBRIO (2)"
"GUARDAPOLVO","2","GUARDAPOLVO (2)"
"BARRA IZQ","2","BARRA IZQ (2)"
"ARREGLO CIGUENAL","2","ARREGLO CIGÜEÑAL (2)"
"SOLDADURA MANIGUETA","2","SOLDADURA MANIGUETA (2)"
"CALCAS","2","CALCAS (2)"
"FILTROS","2","FILTROS (2)"
"JUEGO DE LLANTAS","2","JUEGO DE LLANTAS (2)"
"REVISION TACOMETRO","2","REVISION TACOMETRO (2)"
"SENSOR ABS TRASERO","2","SENSOR ABS TRASERO (2)"
"PINTURA PARRILLA","2","PINTURA PARRILLA (2)"
"PULIDA VISOR","2","PULIDA VISOR (2)"
"PINTURA TAPA TANQUE","2","PINTURA TAPA TANQUE (2)"
"LLANTA TRASERAS","2","LLANTA TRASERAS (2)"
"CINCADOS","2","CINCADOS (2)"
"REVISAR CADENILLA","2","REVISAR CADENILLA (2)"
"PESA","2","PESA (2)"
"ARREGLO DE FUGA","2","ARREGLO DE FUGA (2)"
"ENDEREZAR DEFENSA","2","ENDEREZAR DEFENSA (2)"
"REVISAR SENSOR","2","REVISAR SENSOR (2)"
"ALUMBRAPLACA","2","ALUMBRAPLACA (2)"
"STOP","2","STOP (2)"
"ARREGLO TACOMETRO","2","ARREGLO TACOMETRO (2)"
"ARREGLO MANGUERAS DE RADIADOR","2","ARREGLO MANGUERAS DE RADIADOR (2)"
"PERA","2","PERA (2)"
"INSTALACION DE LUCES","2","INSTALACION DE LUCES (2)"
"ARREGLO PITO","2","ARREGLO PITO (2)"
"PINTURA CUPULA","2","PINTURA CUPULA (2)"
"ARREGLO UNIDAD ABS","2","ARREGLO UNIDAD ABS (2)"
"NEUMATICO","2","NEUMATICO (2)"
"BRUNIDA DE CILINDRO","2","BRUÑIDA DE CILINDRO (2)"
"BUJE DE MANIGUETA","2","BUJE DE MANIGUETA (2)"
"REVISION DE BOBINAS","2","REVISION DE BOBINAS (2)"
"RODAMIENTO PORTAPLATO","2","RODAMIENTO PORTAPLATO (2)"
"SOAT","2","SOAT (2)"
"REVISION ABS","2","REVISION ABS (2)"
"FILTRO DE AEITE","2","FILTRO DE AEITE (2)"
"CAMBIO TENSOR DE CADENILLA","2","CAMBIO TENSOR DE CADENILLA (2)"
"SENSOR RUEDA DELANTERA","2","SENSOR RUEDA DELANTERA (2)"
"ARREGLO FUGAS","2","ARREGLO FUGAS (2)"
"MANTENIMIENTO RETEN DE CLUTCH","2","MANTENIMIENTO RETEN DE CLUTCH (2)"
"DIRECCIONALES TRASERAS","2","DIRECCIONALES TRASERAS} (1) | DIRECCIONALES TRASERAS (1)"
"NEUMATICOS","2","NEUMATICOS (1) | NEUMATICOS ? (1)"
"BIELA","2","BIELA (2)"
"DISCOS DELANTEROS","2","DISCOS DELANTEROS (2)"
"ARREGLO TAPA DERECHA","2","ARREGLO TAPA DERECHA (2)"
"DEFLECTOR IZQUIERDO","2","DEFLECTOR IZQUIERDO (2)"
"PINTURA TAPA EXOSTO","2","PINTURA TAPA EXOSTO (2)"
"MANO DE OBRA CAMBIO DE ACEITE","2","MANO DE OBRA CAMBIO DE ACEITE (2)"
"TRABAJO REALIZADO","2","TRABAJO REALIZADO (2)"
"CAMBIO DE LLANTA TRASERA","2","CAMBIO DE LLANTA TRASERA (2)"
"LAVAD","2","LAVAD (2)"
"CALCOMANIA","2","CALCOMANIA (2)"
"ARREGLO GATO","2","ARREGLO GATO (2)"
"ARREGLO DE GATO","2","ARREGLO DE GATO (2)"
"ARREGLO CABLES","2","ARREGLO CABLES (2)"
"FILTRO DE AIRE KYN","2","FILTRO DE AIRE KYN (2)"
"BASE EXPLORADORAS","2","BASE EXPLORADORAS (2)"
"ARREGLO FUGA CKP","2","ARREGLO FUGA CKP (2)"
"ARREGLO Y PINTURA GUARDABARRO","2","ARREGLO Y PINTURA GUARDABARRO (2)"
"PINTURA CHASIS","2","PINTURA CHASIS (2)"
"MOTOVENTILADOR","2","MOTOVENTILADOR (2)"
"REBOBINADO DE CORONA","2","REBOBINADO DE CORONA (2)"
"SALDO","2","SALDO (2)"
"PEDAL DE CAMBIOS","2","PEDAL DE CAMBIOS (2)"
"INSTALACION SOPORTE","2","INSTALACION SOPORTE (2)"
"ARREGLO DE FAROLA","2","ARREGLO DE FAROLA (2)"
"ARREGLO SWITCH","2","ARREGLO SWITCH (2)"
"CAMBIO DE GUAYAS","2","CAMBIO DE GUAYAS (2)"
"COPIA DE LLAVE","2","COPIA DE LLAVE (2)"
"LLANTAS MITAS","2","LLANTAS MITAS (2)"
"MANO DE OBRA BOBINAS","2","MANO DE OBRA BOBINAS (2)"
"PINTURA MALETERO","2","PINTURA MALETERO (2)"
"CAMBIO FILTRO DE GASOLINA","2","CAMBIO FILTRO DE GASOLINA (2)"
"ARREGLO BOMBA DE CLUTCH","2","ARREGLO BOMBA DE CLUTCH (2)"
"ARREGLO TAPA LATERAL","2","ARREGLO TAPA LATERAL (2)"
"MANTENIMIENTO DE PASTILLAS","2","MANTENIMIENTO DE PASTILLAS (2)"
"SOPORTE","2","SOPORTE (2)"
"PINES","2","PINES (2)"
"RODAMIENTO LLANTA TRASERA","2","RODAMIENTO LLANTA TRASERA (2)"
"PINTURA PARRILLA Y RETOQUES","2","PINTURA PARRILLA Y RETOQUES (2)"
"PESAS ELECTROESTATICA","2","PESAS ELECTROESTATICA (2)"
"PINTURA DE MANZANAS","2","PINTURA DE MANZANAS (2)"
"GUIAS DE CADENILLA","2","GUIAS DE CADENILLA (2)"
"PINTURA TAPA ZE","2","PINTURA TAPA ZE (2)"
"CAMBIO MANGUERA","2","CAMBIO MANGUERA (2)"
"FILTRO KYN","2","FILTRO KYN (2)"
"ARREGLO SUSPENSION DELANTERA","2","ARREGLO SUSPENSION DELANTERA (2)"
"DEPURACION DE ABS","2","DEPURACION DE ABS (2)"
"POLICHADO VISOR","2","POLICHADO VISOR (2)"
"REVISAR KIT DE ARRASTRE","2","REVISAR KIT DE ARRASTRE (2)"
"REVISAR BOBINAS","2","REVISAR BOBINAS (2)"
"ARREGLO DE BOBINA","2","ARREGLO DE BOBINA (2)"
"REVISAR CUNAS","2","REVISAR CUNAS (2)"
"BOMBA DE FRENO","2","BOMBA DE FRENO (2)"
"QUILLA","2","QUILLA (2)"
"ARREGLO DE SWITCH","2","ARREGLO DE SWITCH (2)"
"ARREGLO STAY FRONTAL","2","ARREGLO STAY FRONTAL (2)"
"SINCRONIZACION Y MANTENIMIENTO","2","SINCRONIZACION Y MANTENIMIENTO (2)"
"ARREGLO MEDIDOR DE GASOLINA","2","ARREGLO MEDIDOR DE GASOLINA (2)"
"TAPON DE ESPEJO","2","TAPON DE ESPEJO (2)"
"VARILLAS ANTIVIBRATORIAS","2","VARILLAS ANTIVIBRATORIAS (2)"
"INSTALACION","2","INSTALACION (2)"
"REVISAR FUGA","2","REVISAR FUGA (2)"
"DOMICILIO","2","DOMICILIO (2)"
"SOPORTES DE EXPLORADORAS","2","SOPORTES DE EXPLORADORAS (2)"
"PULIR CUPULA","2","PULIR CUPULA (2)"
"ARREGLO SENSOR","2","ARREGLO SENSOR (2)"
"BOMBILLO DE STOP","2","BOMBILLO DE STOP (2)"
"GATO CENTRAL","2","GATO CENTRAL (2)"
"CAMBIO MANUBRIO","2","CAMBIO MANUBRIO (2)"
"SOLDADURA DE RIN","2","SOLDADURA DE RIN (2)"
"EMPAQUE TADURA MEDIA","2","EMPAQUE TADURA MEDIA (2)"
"CAMBIO DE MANUBRIO","2","CAMBIO DE MANUBRIO (2)"
"PROTECTORES FAROLA","2","PROTECTORES FAROLA (2)"
"CARGADORES USB","2","CARGADORES USB (2)"
"PINTURA TAPA DE EXOSTO","2","PINTURA TAPA DE EXOSTO (2)"
"INSTALACION DE CALEFACTORES","2","INSTALACION DE CALEFACTORES (2)"
"RETEN EJE DE ARRASTRE","2","RETEN EJE DE ARRASTRE (2)"
"ARREGLO DE MANDO","2","ARREGLO DE MANDO (2)"
"CAMBIO DE EXPLORADORAS","2","CAMBIO DE EXPLORADORAS (2)"
"PINTURA DE RIN","2","PINTURA DE RIN (2)"
"ELEVADORES DE MANUBRIOO","2","ELEVADORES DE MANUBRIOO (2)"
"CAMBIO DE ACEITE ENI 10W40","2","CAMBIO DE ACEITE ENI 10W40 (2)"
"COCUYO LED","2","COCUYO LED (2)"
"EJE DE LEVAS","2","EJE DE LEVAS (2)"
"INSTALACION STOP","2","INSTALACION STOP (2)"
"GUARDABARRO","2","GUARDABARRO (2)"
"SINCRONIZAR","2","SINCRONIZAR (2)"
"SENTADA DE VALVULA","2","SENTADA DE VALVULA (2)"
"ABRAZADERA DE GUARDABARRO","2","ABRAZADERA DE GUARDABARRO (2)"
"RETIRAR EXPLORADORAS","2","RETIRAR EXPLORADORAS (2)"
"PARCHE LLANTA","2","PARCHE LLANTA (2)"
"ARREGLO CARBURADOR","2","ARREGLO CARBURADOR (2)"
"CINCADO DE RADIOS","2","CINCADO DE RADIOS (2)"
"REVISAR LIQUIDOS","2","REVISAR LIQUIDOS (2)"
"EXTRACCION TORNILLO","2","EXTRACCION TORNILLO (2)"
"PALANCA DE CAMBIOS","2","PALANCA DE CAMBIOS (2)"
"CAMBIO DE ACEITE ENI 10W50","2","CAMBIO DE ACEITE ENI 10W50 (2)"
"CAMBIO DE LLANTA DELANTERA","2","CAMBIO DE LLANTA DELANTERA (2)"
"VISOR","2","VISOR (2)"
"ARREGLO DE ABS","2","ARREGLO DE ABS (2)"
"COCUYO","2","COCUYO (2)"
"REVISION DE RODAMIENTOS","2","REVISION DE RODAMIENTOS (2)"
"SCANER","2","SCANER (2)"
"CAMBIO DE INTERRUPTORES","2","CAMBIO DE INTERRUPTORES (2)"
"RETOQUES DE CHASIS","2","RETOQUES DE CHASIS (2)"
"2 RODAMIENTOS","2","2 RODAMIENTOS (2)"
"SELLOS","2","SELLOS (2)"
"ORRING","2","ORRING (2)"
"CALCOMANIAS DE TANQUE","2","CALCOMANIAS DE TANQUE (2)"
"BOMBILLO H7","2","BOMBILLO H7 (2)"
"DISCOS DE FRENO","2","DISCOS DE FRENO (2)"
"RETENES EJE DE CAMBIOS","2","RETENES EJE DE CAMBIOS (2)"
"SEPARADORES","2","SEPARADORES (2)"
"TACO RUEDA TRASERA","2","TACO RUEDA TRASERA (2)"
"LLANTA DEL","2","LLANTA DEL (2)"
"CAMBIO LLANTA DELANTERA","2","CAMBIO LLANTA DELANTERA (2)"
"MANO DE OBRA CLUTCH","2","MANO DE OBRA CLUTCH (2)"
"EXTRACCION TORNILLO DE MORDAZA","2","EXTRACCION TORNILLO DE MORDAZA (2)"
"REVISION FRENO TRASERO","2","REVISION FRENO TRASERO (2)"
"KIT DE BIELA","2","KIT DE BIELA (2)"
"LUBRICACION GUAYA DE CLUTCH","2","LUBRICACION GUAYA DE CLUTCH (2)"
"NIVELACION DE ACEITE","2","NIVELACION DE ACEITE (2)"
"ARREGLO DE STOP","2","ARREGLO DE STOP (2)"
"CAUCHOS PORTAPLATO","2","CAUCHOS PORTAPLATO (2)"
"ARREGLO DE RADIADOR","2","ARREGLO DE RADIADOR (2)"
"ARREGLO PEDAL DE FRENO","2","ARREGLO PEDAL DE FRENO (2)"
"ARREGLO TAPAS LATERALES","2","ARREGLO TAPAS LATERALES (2)"
"MANO DE OBRA FILTRO","2","MANO DE OBRA FILTRO (2)"
"CAMBIO DE BATERIA","2","CAMBIO DE BATERIA (2)"
"MULETA","2","MULETA (2)"
"TORNILLO PLACA","1","TORNILLO PLACA (1)"
"AJUSTE DE MULETA Y GATO","1","AJUSTE DE MULETA Y GATO (1)"
"ARREGLO DE RINES","1","ARREGLO DE RINES (1)"
"PROTECTOR DE EXOSTO","1","PROTECTOR DE EXOSTO (1)"
"FILTRO DE AORE","1","FILTRO DE AORE (1)"
"ARREGLO FISURA TAPA VOLANTE","1","ARREGLO FISURA TAPA VOLANTE (1)"
"REVISAR EXPLORADORA LARGA","1","REVISAR EXPLORADORA LARGA (1)"
"RADIOS TRASEROS","1","RADIOS TRASEROS (1)"
"CAMBIO DE GATO","1","CAMBIO DE GATO (1)"
"MANTENIMEINTO DE BARAS","1","MANTENIMEINTO DE BARAS (1)"
"MANTENIMITO DE CARDAN","1","MANTENIMITO DE CARDAN (1)"
"TAPA DE REFRIGERANTE","1","TAPA DE REFRIGERANTE (1)"
"BOMBILLO LUZ DE PLACA","1","BOMBILLO LUZ DE PLACA (1)"
"GUAYAS DE CLUTCH Y ACELERADOR","1","GUAYAS DE CLUTCH Y ACELERADOR (1)"
"CAAMBIO DE ACEITE","1","CAAMBIO DE ACEITE (1)"
"ACEITE XTZ","1","ACEITE XTZ (1)"
"REVISION DE FRENOS","1","REVISION DE FRENOS (1)"
"CORREAS LAVADA","1","CORREAS LAVADA (1)"
"CAMBIO DE COCUYOS","1","CAMBIO DE COCUYOS (1)"
"CABLES DE EXPLORADORAS","1","CABLES DE EXPLORADORAS (1)"
"CAMBIAR FILTROS","1","CAMBIAR FILTROS (1)"
"REVISAR Y ARREGLAR RUIDO","1","REVISAR Y ARREGLAR RUIDO (1)"
"RETIRAR ACCESORIOS","1","RETIRAR ACCESORIOS (1)"
"SOLDADURA DE EXOSTO","1","SOLDADURA DE EXOSTO (1)"
"SALDO DUCATI","1","SALDO DUCATI (1)"
"PINTURA TAPAS DE MOTOS","1","PINTURA TAPAS DE MOTOS (1)"
"ARREGLO ESPEJOS","1","ARREGLO ESPEJOS (1)"
"FILTRO","1","FILTRO (1)"
"PASTILLAS SELANTERAS","1","PASTILLAS SELANTERAS (1)"
"SELLOS DE VALVULA","1","SELLOS DE VALVULA (1)"
"CAMBIO EMPAQUE CULATIN","1","CAMBIO EMPAQUE CULATIN (1)"
"FLTRO DE ACEITE","1","FLTRO DE ACEITE (1)"
"TAPON DE ACEITET","1","TAPON DE ACEITET (1)"
"PINTURA TAPA EXOSTO LAVADA","1","PINTURA TAPA EXOSTO LAVADA (1)"
"ARREGLO MOTOR DE ARRANQUE Y ESCOBILLAS","1","ARREGLO MOTOR DE ARRANQUE Y ESCOBILLAS (1)"
"ANCLAJE RADIADOR","1","ANCLAJE RADIADOR (1)"
"FUELELS BARRA","1","FUELELS BARRA (1)"
"SOLDADURA DE MULETA","1","SOLDADURA DE MULETA (1)"
"CAMBIO DE BOBINA","1","CAMBIO DE BOBINA (1)"
"CAMBIO BUJIAS","1","CAMBIO BUJIAS (1)"
"SOLDADURA STAY FRONTAL","1","SOLDADURA STAY FRONTAL (1)"
"CAMBIO CARENAJE","1","CAMBIO CARENAJE (1)"
"ARREGLO CHAPA","1","ARREGLO CHAPA (1)"
"ARREGLO SLIDER","1","ARREGLO SLIDER (1)"
"CAMBIO MOTOVENTILADOR","1","CAMBIO MOTOVENTILADOR (1)"
"AJUSTE DE RIN","1","AJUSTE DE RIN (1)"
"REVISION SENSOR","1","REVISION SENSOR (1)"
"REVISION BOBINAS","1","REVISION BOBINAS (1)"
"CAMBIO DE ACORONA","1","CAMBIO DE ACORONA (1)"
"BASE Y MANIGUEA","1","BASE Y MANIGUEA (1)"
"ORRING CULATA","1","ORRING CULATA (1)"
"KIT DE DISCOS Y TAMBOR","1","KIT DE DISCOS Y TAMBOR (1)"
"MOTOTR DE ARRANQUE","1","MOTOTR DE ARRANQUE (1)"
"BARRA MANTENIMIENTO Y ACEITE","1","BARRA MTO Y ACEITE (1)"
"SOPORTES DE MOTOR","1","SOPORTES DE MOTOR (1)"
"ARREGLO BUJES DE TRAPECIO","1","ARREGLO BUJES DE TRAPECIO (1)"
"FILTO DE ACEITE","1","FILTO DE ACEITE (1)"
"LLANT TRASERA","1","LLANT TRASERA (1)"
"RETOQUE CHASIS","1","RETOQUE CHASIS (1)"
"MANTENIMIENTO FFRENO TRASERO","1","MANTENIMIENTO FFRENO TRASERO (1)"
"MANTENIMIENTO Y RETEN DE LUTCH","1","MANTENIMIENTO Y RETEN DE LUTCH (1)"
"FUGA DE ACEITE SUSPENSION","1","FUGA DE ACEITE SUSPENSION (1)"
"ARREGLO EXPLORADORA","1","ARREGLO EXPLORADORA (1)"
"CAMBIO DE CADENA Y PLATO","1","CAMBIO DE CADENA Y PLATO (1)"
"CAMBIO LIGAS DE FRENO","1","CAMBIO LIGAS DE FRENO (1)"
"ORING CULATAS","1","ORING CULATAS (1)"
"ARREGLO PALANCA DE FRENO","1","ARREGLO PALANCA DE FRENO (1)"
"ARREGLO PESA Y MANIGUETA DERECHA","1","ARREGLO PESA Y MANIGUETA DERECHA (1)"
"MANTENIMITNTO GENERAL","1","MANTENIMITNTO GENERAL (1)"
"ARREGLO TAPA CARENAJE","1","ARREGLO TAPA CARENAJE (1)"
"ARREGLO PROTECTOR EXOSTO","1","ARREGLO PROTECTOR EXOSTO (1)"
"INSTALACION DISCO DE FRENO","1","INSTALACION DISCO DE FRENO (1)"
"MANTENIMIENTO SUSPENSION Y TRANSMISION","1","MANTENIMIENTO SUSPENSION Y TRANSMISION (1)"
"INSTALACION PORTA PLACA","1","INSTALACION PORTA PLACA (1)"
"TENSION DE CADEMA","1","TENSION DE CADEMA (1)"
"MICO","1","MICO (1)"
"AJUSTE TAPA CARENAJE","1","AJUSTE TAPA CARENAJE (1)"
"ARREGLO DE BOBINAS","1","ARREGLO DE BOBINAS (1)"
"INSTALACION PASTILLAS DELANTERAS","1","INSTALACION PASTILLAS DELANTERAS (1)"
"ENDEREZAR RINES","1","ENDEREZAR RINES (1)"
"PINTURA TAPAS DIRECCIONALES","1","PINTURA TAPAS DIRECCIONALES (1)"
"MANO DE OPBRA","1","MANO DE OPBRA (1)"
"LVADA","1","LVADA (1)"
"BALANCEO LLANTA","1","BALANCEO LLANTA} (1)"
"ARREGLO HANDSAVER","1","ARREGLO HANDSAVER (1)"
"LUBRICANTE DE VADENA","1","LUBRICANTE DE VADENA (1)"
"ENSAMBLE Y DESENSAMBLE DE MOTOR","1","ENSAMBLE Y DESENSAMBLE DE MOTOR (1)"
"ENSAMBLE Y DESENSAMBLE PARTES PLASTICAS","1","ENSAMBLE Y DESENSAMBLE PARTES PLASTICAS (1)"
"MANO DE OBRA PINON DELANTERO","1","MANO DE OBRA PIÑON DELANTERO (1)"
"BOBINA DE ENCENDIDO","1","BOBINA DE ENCENDIDO (1)"
"MANTENIMIENTO GENEAL","1","MTO GENEAL (1)"
"ARREGLO CADENA","1","ARREGLO CADENA (1)"
"PASTILLAS TRSERAS","1","PASTILLAS TRSERAS (1)"
"MANTENIMIENTO DE MORDAZAS","1","MANTENIMIENTO DE MORDAZAS (1)"
"MMTO PREVENTIVO","1","MMTO PREVENTIVO (1)"
"SELLOS DE AGUA","1","SELLOS DE AGUA (1)"
"REMACHES Y SOLDADURA DE EXOSTO","1","REMACHES Y SOLDADURA DE EXOSTO (1)"
"TECNOMECANOCA","1","TECNOMECANOCA (1)"
"EMPAQUE TAPA CARTER","1","EMPAQUE TAPA CARTER (1)"
"PORTAPLCA","1","PORTAPLCA (1)"
"ARREGLO VENDIX","1","ARREGLO VENDIX (1)"
"TPS","1","TPS (1)"
"RFRIGERANTE","1","RFRIGERANTE (1)"
"DEFENSA","1","DEFENSA (1)"
"RTECNOMECANICA","1","RTECNOMECANICA (1)"
"RETIRAR PPF","1","RETIRAR PPF (1)"
"CAMBIAR RETENES DE BARRAS","1","CAMBIAR RETENES DE BARRAS (1)"
"MANTENIMIENTO Y RTEN DE CLUTCH","1","MTO Y RTEN DE CLUTCH (1)"
"MANTENIMIENTO FILTRO DE AIRE Y BOBINAS","1","MTO FILTRO DE AIRE Y BOBINAS (1)"
"MANTENIMIENTO MANIGUETAS","1","MTO MANIGUETAS (1)"
